,ref,prd
0,['1_14.2.3.Guidance.10.'],"['27_9.2', '1_14.2.3.Guidance.8.', '7_APP2.A2.1.1', '12_APP2.A2.5.Guidance.9.', '27_3.2.5', '24_2.2', '1_14.4.1.Guidance.2.', '27_3.2.7', '33_13)', '1_11.2.1.Guidance.4.']"
1,['19_100)'],"['19_100)', '19_28)', '19_140)', '19_25)', '4_4.3.2.Guidance.2.', '34_82)', '33_106)', '19_95)', '19_76)', '19_29)']"
2,['3_20.14.1.(2)'],"['3_20.14.1.(2)', '3_19.23.1.(2)', '3_20.14.1.(1)', '3_20.14.2.(1)', '3_20.9.1', '3_20.14.1.(3)', '3_20.11.1', '3_20.14.3.(5)', '21_35)', '3_19.23.2.(1)']"
3,['13_4.15.16'],"['13_4.15.16', '13_APP4.A4.11.2', '13_APP4.A4.3.12', '13_3.21.6.Guidance.1.', '13_APP4.A4.11.3', '13_4.15.15', '13_APP4.A4.3.27', '11_4.15.14.Guidance', '13_4.15.17', '11_4.15.2']"
4,['34_35)'],"['34_35)', '34_33)', '34_48)', '34_46)', '34_37)', '34_41)', '34_38)', '19_103)', '34_26)', '34_54)']"
5,['3_14.4.6.Guidance.4.'],"['3_14.4.6.Guidance.4.', '3_14.4.5', '13_3.7.1.Guidance.2.', '13_APP3.A3.2.Guidance.4.', '3_19.1.1.Guidance.4.', '3_14.4.6.Guidance.2.', '13_3.7.1.Guidance.1.', '17_Schedule 1.Part 2.Chapter 8.52.', '40_SECTION I.A.6.', '40_SECTION I.A.5.']"
6,['37_4.5.b.'],"['37_4.5.b.', '37_4.12.c.', '37_4.5.d.', '37_4.5.c.', '37_4.5.a.', '37_4.13.a.', '37_4.13.d.', '13_APP6.A6.9.2.Guidance.14.', '37_4.6', '37_4.2']"
7,['19_186)'],"['4_3.18.1', '13_3.6A.6.(1)', '19_186)', '4_3.18', '13_3.6A.6.(2)', '19_125)', '11_6.2.5.(5)', '19_162)', '11_6.2.5.(6)', '17_Part 12.Chapter 4.149.(2)']"
8,['10_4.7.33'],"['10_4.7.33', '10_4.7.1', '10_4.7.24', '10_4.7.27.Guidance.1.', '10_4.10.2.Guidance', '10_4.7.3', '10_4.7.26', '10_4.7.34', '13_9.2.9.(1)', '10_4.7.18']"
9,['14_Part 6.Chapter 5.68.(1)'],"['14_Part 5.Chapter 4.40.', '14_Part 5.Chapter 4.41.(3)', '14_Part 5.Chapter 4.41.(1)', '14_Part 6.Chapter 5.68.(1)', '14_Part 5.Chapter 4.41.', '14_Part 5.Chapter 4.37.(1)', '6_PART 5.13.4.9.Guidance.1', '6_PART 5.13.4.8', '6_PART 5.13.4.9.(3)', '14_Part 5.Chapter 4.35.(2)']"
10,"['9_APP 1.A1.2.2', '10_2.11.1']","['9_3.5.3', '9_6.2.1.(a)', '9_3.5.2', '9_7.3.1', '9_6.2.3.(b).Guidance.(i)', '9_3.5.4.Guidance', '9_6.2.2.(a)', '9_6.2.1.(c).Guidance.(iv)', '9_3.5.6', '9_3.5.7']"
11,['11_12.13.1'],"['31_82)', '31_81)', '31_80)', '30_121)', '31_83)', '30_122)', '11_12.13.3', '31_86)', '11_12.13.1', '31_16)']"
12,['6_PART 5.13A.2.1'],"['13_APP4.A4.1.Guidance.61.', '13_4.4.8', '10_4.10.1', '19_66)', '13_APP4.A4.1.Guidance.36.', '13_4.3.2', '13_APP2.A2.3.2', '2_6.5.2', '3_15.11A.5', '21_32)']"
13,['7_3.3.33.(1)'],"['7_3.3.33.(1)', '7_2.2.3', '1_11.2.1.Guidance.2.', '7_3.3.33.(2).Guidance.2.', '11_2.2.2', '13_4.3.1', '13_3.2.4', '6_PART 5.15.2.Guidance.2', '12_APP2.A2.3.Guidance.9.', '1_8.4.1.Guidance.11.']"
14,['3_17.1.3'],"['19_17)', '17_Part 8.97.', '11_6.1.1', '17_Part 8.97.(2)', '17_Part 8.97.(1)', '19_102)', '10_2.5.3', '3_17.1.2', '22_1.(13)', '33_5)']"
15,['34_98)'],"['34_18)', '34_95)', '34_108)', '34_99)', '34_11)', '34_100)', '34_101)', '34_13)', '34_2)', '34_22)']"
16,['12_APP9.A9.4.1'],"['12_APP9.A9.4.1', '12_APP6.A6.11.1', '12_APP9.A9.2.1', '12_APP9.A9.4.Guidance', '12_APP9.A9.4', '12_APP9.A9.5.1', '12_APP9.A9.3.1', '12_APP4.A4.11.2', '12_APP6.A6.11.Guidance.1.', '12_APP6.A6.11.Guidance.2.']"
17,"['6_PART 5.13A.7.2', '32_1.4']","['13_APP4.A4.6.7', '27_9.2', '13_APP4.A4.6.6', '14_Part 5.Chapter 4.38.(1)', '6_PART 8.20.4.8', '20_2.3.(v)', '13_APP4.A4.6', '3_3.8.24', '13_APP4.A4.6.Guidance.1.', '3_3.8.22.Guidance.1']"
18,"['29_3.7', '33_58)', '33_103)', '33_72)']","['33_62)', '33_132)', '33_64)', '33_65)', '33_134)', '33_71)', '33_12)', '33_91)', '33_96)', '33_63)']"
19,['2_2.2.7'],"['19_58)', '12_7.3.6.Guidance.4.', '21_42)', '7_8.12.2.Guidance.2.', '21_28)', '1_8.5.1.Guidance.2.', '13_9.3.9.Guidance.1.', '7_8.12.2.(1)', '17_Part 19.Chapter 2.235.(4)', '17_Part 17.203.(3)']"
20,['19_76)'],"['19_76)', '29_4.4', '1_6.1.3.Guidance.6.', '19_12)', '19_94)', '19_3)', '10_4.7.21', '19_133)', '17_Schedule 1.Chapter 2.114.', '19_166).e)']"
21,['17_Part 2.Chapter 1.5A.(1)'],"['17_Part 2.Chapter 1.5A.', '17_Part 2.Chapter 1.5A.(1)', '22_5.2.(9)', '17_Schedule 1.Part 2.Chapter 1.12.', '17_Schedule 1.Part 2.Chapter 1.4.', '34_109)', '17_Part 2.Chapter 1.5A.(2)', '22_9.(4)', '34_19)', '22_5.1.(1)']"
22,['3_7.8.1'],"['3_7.8.1', '3_7.3.1.(c)', '2_8.1.3', '2_8.1', '2_8.5.5', '2_8.3.4', '2_10.2.3.(1)', '2_2.2.5', '2_8.1.1', '2_8.3.1']"
23,['13_APP10.A10.2.Guidance.4.'],"['13_APP10.A10.2.Guidance.4.', '13_APP10.A10.2.15.Guidance.15.', '13_4.14.43.(1)', '13_4.14.45.(2)', '13_APP10.A10.2.18.Guidance .4.', '32_2.3', '13_4.14.56.Guidance', '6_PART 5.13A.4.1', '13_4.11.10', '21_28)']"
24,['30_26)'],"['30_26)', '30_30)', '30_56)', '30_29)', '30_24)', '30_23)', '30_55)', '30_62)', '31_27)', '30_28)']"
25,['19_63)'],"['1_11.2.1.(5)', '1_3.1.1', '27_6.1.4', '17_Part 2.Chapter 4.15A.(2)', '14_Part 6.Chapter 1.42.(8)', '6_PART 5.12.12.8.(3)', '27_6.7.3', '33_114)', '27_8.1.5', '11_12.2.2.Guidance']"
26,['3_19.23.2.(1)'],"['3_19.23.2.(1)', '3_20.14.2.(1)', '3_19.23.1.(2)', '3_20.14.1.(2)', '3_19.23.1.(3)', '3_19.23.2.(3)', '3_19.23.1.(1)', '3_19.12.1.(b)', '3_19.17.1', '3_19.10.2.(4)']"
27,['17_Part 7.88.(1)'],"['5_9.3', '14_Part 5.Chapter 1.23.', '17_Part 7.90.', '17_Part 7.88.(1)', '37_4.13.a.', '13_APP7.A7.1.1.Guidance.3.', '11_9.3.8.Guidance.2.', '6_PART 5.13.2.1.Guidance.3', '37_4.12.d.', '10_2.3.14']"
28,['1_4.5.1'],"['1_2.Guidance.7.', '27_2.5.1', '27_6.6.9', '1_9.1.1.(4)', '40_SECTION IV.C.', '11_5.2.7', '1_8.3.2.Guidance on CDD.6.', '1_8.3.2.Guidance on CDD.2.', '1_4.5.1.Guidance', '3_3.8.5']"
29,['7_8.10.14.Guidance.1.'],"['7_8.10.14.Guidance.1.', '7_8.10.14.(1)', '7_3.3.42.(3).Guidance.5.', '7_8.10.14', '7_8.10.14.(2)', '7_APP1', '7_APP1.A1.2.Guidance.1.', '7_3.3.42.(3).Guidance.4.', '7_APP1.A1.2.Guidance.2.', '7_2.2.12']"
30,['3_5.13.4'],"['3_5.13.3', '3_19.2.9', '3_5.13.1', '3_5.13.5', '3_19.2.10', '7_8.7.4', '3_5.6.2', '3_20.2.10', '3_19.15.5.(2)', '3_19.15.5.(6)']"
