,base,ftune,ftunernd
0,5.0,2.9700077,4.1208286
1,5.0,6.150942,4.756404
2,5.0,3.590224,4.8126583
3,5.0,8.049671,4.891037
4,5.0,3.4828598,4.537716
5,5.0,1.4199936,3.7947419
6,5.0,0.15200098,3.4922671
7,5.0,6.685802,4.9897065
8,5.0,8.874225,4.891037
9,5.0,0.5086745,3.367554
10,5.0,2.8058379,4.059685
11,5.0,0.58829975,3.734249
12,5.0,3.4961598,4.4424148
13,5.0,4.19464,4.623818
14,5.0,0.73542017,3.5208187
15,5.0,1.1936312,3.6332624
16,5.0,1.6428576,3.9552808
17,5.0,2.0455801,4.140221
18,5.0,2.5274246,4.32947
19,5.0,2.052905,3.9782743
20,5.0,2.2251565,4.0727544
21,5.0,2.6007335,4.452073
22,5.0,2.686771,4.388619
23,5.0,1.2150865,4.662333
24,5.0,1.0956581,4.8311987
25,5.0,7.4473314,4.8911767
26,5.0,8.049671,4.891037
27,5.0,3.6579502,3.738693
28,5.0,8.874225,4.891037
29,5.0,6.7358437,4.891037
30,5.0,7.800665,4.890943
31,5.0,6.540372,4.891037
32,5.0,5.257263,4.891037
33,5.0,5.583902,4.844319
34,5.0,5.0438585,4.891037
35,5.0,6.7319064,4.858426
36,5.0,8.874225,4.891037
37,5.0,8.377285,4.891037
38,5.0,1.0585092,4.0891004
39,5.0,1.2948467,4.3004837
40,5.0,1.9593629,4.1937404
41,5.0,2.3558552,4.695247
42,5.0,2.7430468,4.705675
43,5.0,2.0598466,4.1230288
44,5.0,2.754449,4.7365737
45,5.0,7.1862335,4.891037
46,5.0,3.136193,5.1267056
47,5.0,4.129503,4.705845
48,5.0,4.9581738,4.8928056
49,5.0,5.4892297,4.891037
50,5.0,5.0090184,4.6733975
51,5.0,4.863073,4.638586
52,5.0,5.662704,4.8024035
53,5.0,4.1385856,4.8691535
54,5.0,4.4378166,4.9867992
55,5.0,2.0741518,3.9965973
56,5.0,2.9130127,4.4009013
57,5.0,5.297251,4.974471
58,5.0,2.7189927,4.4983215
59,5.0,4.39141,4.95644
60,5.0,5.3828034,4.8360176
61,5.0,6.428951,4.891823
62,5.0,6.6662145,4.8926773
63,5.0,5.661419,5.1895084
64,5.0,7.8052607,4.891037
65,5.0,6.8919454,4.891037
66,5.0,7.8052607,4.891037
67,5.0,8.049671,4.891037
68,5.0,7.609944,4.891037
69,5.0,7.8052607,4.891037
70,5.0,8.377285,4.891037
71,5.0,6.674164,4.830632
72,5.0,8.874225,4.891037
73,5.0,8.874225,4.891037
74,5.0,7.1062555,4.6654706
75,5.0,8.874225,4.891037
76,5.0,8.874225,4.891037
77,5.0,7.2606063,4.934979
78,5.0,6.8919454,4.891037
79,5.0,8.874225,4.891037
80,5.0,8.874225,4.891037
81,5.0,8.874225,4.891037
82,5.0,8.377285,4.891037
83,5.0,4.318677,5.0713058
84,5.0,7.458358,4.7995305
85,5.0,8.049671,4.891037
86,5.0,7.077943,4.891037
87,5.0,6.1269593,4.8422647
88,5.0,4.239566,4.646117
89,5.0,6.3646717,4.8422174
90,5.0,8.874225,4.891037
91,5.0,8.021691,4.887782
92,5.0,7.447305,4.891037
93,5.0,8.377285,4.891037
94,5.0,-0.07853963,3.3960843
95,5.0,8.874225,4.891037
96,5.0,7.8367295,5.080811
97,5.0,6.7358117,4.891037
98,5.0,7.7987776,4.8802032
99,5.0,7.2536964,4.8765564
100,5.0,6.2848716,4.882618
101,5.0,7.447336,4.891037
102,5.0,7.308042,4.891037
103,5.0,8.874225,4.891037
104,5.0,8.049671,4.891037
105,5.0,7.4142933,5.146054
106,5.0,8.820238,4.839577
107,5.0,4.6436887,5.1045938
108,5.0,7.8052607,4.891037
109,5.0,4.5002775,4.775813
110,5.0,6.728147,4.808665
111,5.0,8.874225,4.891037
112,5.0,6.1958976,4.891037
113,5.0,0.8685639,3.409673
114,5.0,5.00317,4.856344
115,5.0,5.2786193,4.7395263
116,5.0,6.0578704,4.8642116
117,5.0,5.821642,4.8274856
118,5.0,3.7014968,4.6808605
119,5.0,7.8052607,4.891037
120,5.0,8.377285,4.891037
121,5.0,1.6065849,3.814171
122,5.0,7.308042,4.891037
123,5.0,5.16304,4.746003
124,5.0,3.460134,4.2443337
125,5.0,6.6662335,4.890991
126,5.0,6.057057,4.7385335
127,5.0,4.6255136,4.6532164
128,5.0,5.5953603,4.891037
129,5.0,4.722978,5.1468253
130,5.0,3.111735,4.291712
131,5.0,7.607071,4.8930554
132,5.0,5.096387,4.891037
133,5.0,6.3988194,5.002819
134,5.0,8.874225,4.891037
135,5.0,1.6532282,3.8762374
136,5.0,4.259188,4.67453
137,5.0,7.3618755,4.9225283
138,5.0,6.721231,4.8124647
139,5.0,3.4946337,4.5854692
140,5.0,5.849229,4.781652
141,5.0,3.1033616,4.931237
142,5.0,2.5865757,4.482941
143,5.0,5.3745728,4.7395744
144,5.0,2.3036096,3.7103434
145,5.0,3.3949583,4.4747024
146,5.0,6.461332,4.7296543
147,5.0,4.8831964,4.749322
148,5.0,4.192453,4.8617406
149,5.0,5.8912854,4.708215
150,5.0,7.500367,4.8457556
151,5.0,8.377668,4.939837
152,5.0,3.8669684,4.591396
153,5.0,4.4983478,5.094671
154,5.0,4.5285006,4.847546
155,5.0,7.447336,4.891037
156,5.0,4.668206,4.293088
157,5.0,6.1346073,4.895366
158,5.0,6.195816,4.891037
159,5.0,2.8155627,4.454488
160,5.0,3.6176188,4.7773795
161,5.0,8.377285,4.891037
162,5.0,2.7606242,4.456064
163,5.0,6.690801,4.815228
164,5.0,5.9599433,5.2875257
165,5.0,0.41404614,3.5405102
166,5.0,6.18559,4.812499
167,5.0,7.447336,4.891037
168,5.0,2.6120114,4.279814
169,5.0,7.0993385,4.5629587
170,5.0,5.2190037,4.872038
171,5.0,5.347239,4.9597874
172,5.0,5.278832,4.7970395
173,5.0,3.819417,4.6643176
174,5.0,4.1418033,4.379098
175,5.0,2.594515,4.051703
176,5.0,5.731729,4.8823524
177,5.0,7.447336,4.891037
178,5.0,4.674888,4.820041
179,5.0,7.308042,4.891037
180,5.0,5.9411464,4.7441993
181,5.0,8.355647,4.8629823
182,5.0,6.967885,4.891036
183,5.0,8.377285,4.891037
184,5.0,4.5238256,4.767477
185,5.0,8.049671,4.891037
186,5.0,4.601116,5.2697773
187,5.0,7.4376545,4.891037
188,5.0,7.308042,4.891037
189,5.0,5.7819986,4.887768
190,5.0,4.9426274,4.354365
191,5.0,3.511112,4.2031236
192,5.0,6.1163197,4.8942304
193,5.0,5.9598217,4.8863764
194,5.0,6.8919454,4.891037
195,5.0,5.63713,4.7397413
196,5.0,2.8536167,4.4655075
197,5.0,8.874225,4.891037
198,5.0,4.1488914,4.507689
199,5.0,7.07793,4.891037
200,5.0,7.447322,4.891037
201,5.0,7.7942142,4.891037
202,5.0,7.308042,4.891037
203,5.0,4.5981913,4.5151668
204,5.0,8.874225,4.891037
205,5.0,7.377131,4.840803
206,5.0,3.9794972,4.8353677
207,5.0,6.6662335,4.891037
208,5.0,3.2837396,4.2071323
209,5.0,4.450135,4.850349
210,5.0,7.155017,4.8964415
211,5.0,4.7972884,4.4308367
212,5.0,6.051918,4.8500133
213,5.0,4.1342683,4.9115825
214,5.0,8.049671,4.891037
215,5.0,6.328958,4.891037
216,5.0,6.442583,4.8758254
217,5.0,8.049671,4.891037
218,5.0,7.308042,4.895187
219,5.0,6.8209357,4.890784
220,5.0,8.377285,4.891037
221,5.0,6.520638,4.918038
222,5.0,8.874225,4.891037
223,5.0,3.2798276,4.572224
224,5.0,5.7758017,4.768571
225,5.0,6.2382517,4.891037
226,5.0,4.322164,4.766345
227,5.0,3.9962733,4.45619
228,5.0,3.8367767,4.439449
229,5.0,8.874225,4.891037
230,5.0,4.365309,4.9393764
231,5.0,7.8052607,4.891037
232,5.0,7.077943,4.891037
233,5.0,8.874225,4.891037
234,5.0,5.047766,4.6544223
235,5.0,4.5270247,4.854652
236,5.0,6.301475,5.259039
237,5.0,4.3677053,4.555174
238,5.0,8.874225,4.891037
239,5.0,4.4709454,4.882168
240,5.0,8.377285,4.891037
241,5.0,3.5473835,4.5286465
242,5.0,6.5732765,4.857678
243,5.0,6.386957,4.9165735
244,5.0,5.988816,4.375679
245,5.0,8.377285,4.891037
246,5.0,8.377285,4.891037
247,5.0,6.8919454,4.891037
248,5.0,4.933176,4.862449
249,5.0,7.077943,4.891037
250,5.0,3.9626474,4.6137433
251,5.0,7.447336,4.891037
252,5.0,8.377285,4.911657
253,5.0,6.7588134,4.9070435
254,5.0,7.252255,4.8624544
255,5.0,7.129994,4.800138
256,5.0,6.041833,4.890861
257,5.0,8.377285,4.891037
258,5.0,8.874225,4.891037
259,5.0,6.231753,4.790545
260,5.0,3.5429537,4.8930073
261,5.0,7.6098285,4.891037
262,5.0,7.4198008,4.861471
263,5.0,8.874225,4.891037
264,5.0,8.874225,4.891037
265,5.0,8.377285,4.891037
266,5.0,8.874225,4.891037
267,5.0,3.6114037,4.735526
268,5.0,3.5312002,4.551302
269,5.0,4.3407984,4.4322166
270,5.0,3.6336915,4.85122
271,5.0,7.340508,4.802222
272,5.0,6.4369607,4.755383
273,5.0,4.9996176,4.8105755
274,5.0,4.951276,4.8901086
275,5.0,8.377285,4.891037
276,5.0,4.4627028,4.544693
277,5.0,8.049671,4.891037
278,5.0,7.1711507,4.9509234
